aggragate_area;aggregate_date;aggregate_time;aggregate_temp_avg;aggregate_temp_min;aggregate_temp_max;aggregate_temp_stddev;aggregate_wind_avg;aggregate_wind_min;aggregate_wind_max;aggregate_wind_stddev;aggregate_rain_avg;aggregate_rain_min;aggregate_rain_max;aggregate_rain_stddev
Budapest;2017-04-28;12:00:00;15,36;13,10;17,60;1,66;2,51;0,00;6,02;2,26;1,11;0,00;7,80;7,80
Debrecen;2017-04-28;12:00:00;17,92;16,70;19,40;0,95;0,39;0,00;2,34;0,96;0,12;0,00;0,70;0,70
Sopron;2017-04-28;12:00:00;15,35;14,40;16,70;0,99;0,78;0,00;2,72;1,31;0,93;0,00;3,70;3,70
Szeged;2017-04-28;12:00:00;15,78;14,00;17,10;1,41;0,01;0,00;0,02;0,01;0,05;0,00;0,20;0,20
Budapest;2017-04-28;13:00:00;16,97;10,40;23,80;3,85;1,88;0,00;8,70;3,15;0,92;0,00;8,30;8,30
Debrecen;2017-04-28;13:00:00;18,33;11,00;23,10;5,35;3,06;0,00;17,41;5,54;1,54;0,00;13,90;13,90
Sopron;2017-04-28;13:00:00;19,05;15,50;23,50;3,01;5,58;0,00;16,98;7,46;3,02;0,00;18,10;18,10
Szeged;2017-04-28;13:00:00;18,12;13,20;23,60;4,42;0,03;0,00;0,18;0,07;0,02;0,00;0,10;0,10
Budapest;2017-04-28;14:00:00;15,34;4,70;20,40;4,39;11,25;0,00;66,85;23,21;4,23;0,00;38,10;38,10
Debrecen;2017-04-28;14:00:00;21,83;16,50;25,70;2,65;2,64;0,00;9,16;4,00;0,93;0,00;8,40;8,40
Sopron;2017-04-28;14:00:00;20,57;19,10;22,30;1,27;1,92;0,00;10,79;4,36;1,77;0,00;10,60;10,60
Szeged;2017-04-28;14:00:00;19,05;14,80;23,20;3,11;0,36;0,00;2,18;0,89;0,10;0,00;0,60;0,60
Budapest;2017-04-28;15:00:00;6,29;4,20;11,90;2,45;8,49;0,00;73,74;24,48;2,34;0,00;21,10;21,10
Debrecen;2017-04-28;15:00:00;6,97;3,00;12,40;3,42;0,10;0,00;0,62;0,20;0,12;0,00;1,10;1,10
