observation_city;observation_station;observation_time;observation_temperature;observation_wind_speed;obeservation_rain;observation_sky
BUDAPEST;1;2017-04-28 12:30:00;17.6;2.565;1.9;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 12:30:00;16.4;0;0;HEAVY_CLOUDS
BUDAPEST;3;2017-04-28 12:31:00;14.7;3.815;0.8;FOG
SZEGED;1;2017-04-28 12:31:00;16.7;0.03;0.2;CLOUDY
SZEGED;2;2017-04-28 12:32:00;17.1;0;0;HEAVY_CLOUDS
SOPRON;1;2017-04-28 12:33:00;14.9;0.49;2.3;FOG
SOPRON;2;2017-04-28 12:33:00;14.4;3.395;1.4;CLEAR
DEBRECEN;1;2017-04-28 12:35:00;16.7;0;0;HEAVY_CLOUDS
DEBRECEN;2;2017-04-28 12:35:00;18.3;0;0;CLEAR
DEBRECEN;3;2017-04-28 12:37:00;17.5;2.925;0.7;PARTLY_CLOUDY
BUDAPEST;1;2017-04-28 12:39:00;16.5;7.53;1.9;HEAVY_CLOUDS
BUDAPEST;2;2017-04-28 12:41:00;13.1;5.845;2.3;CLOUDY
BUDAPEST;3;2017-04-28 12:43:00;15.7;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-28 12:45:00;15.3;0;0;HEAVY_CLOUDS
SZEGED;2;2017-04-28 12:47:00;14;0;0;FOG
SOPRON;1;2017-04-28 12:49:00;15.4;0;0;CLOUDY
SOPRON;2;2017-04-28 12:51:00;16.7;0;0;FOG
DEBRECEN;1;2017-04-28 12:53:00;17.3;0;0;CLOUDY
DEBRECEN;2;2017-04-28 12:55:00;18.3;0;0;CLOUDY
DEBRECEN;3;2017-04-28 12:57:00;19.4;0;0;HEAVY_CLOUDS
BUDAPEST;1;2017-04-28 12:59:00;13.5;2.225;0.9;FOG
BUDAPEST;2;2017-04-28 13:01:00;17.3;0;0;PARTLY_CLOUDY
BUDAPEST;3;2017-04-28 13:03:00;16.1;0;0;CLEAR
SZEGED;1;2017-04-28 13:05:00;13.4;0;0;PARTLY_CLOUDY
SZEGED;2;2017-04-28 13:07:00;13.2;0;0;CLEAR
SOPRON;1;2017-04-28 13:09:00;15.5;15.965;8;CLOUDY
SOPRON;2;2017-04-28 13:11:00;18.7;21.22;8.1;CLEAR
DEBRECEN;1;2017-04-28 13:13:00;19.9;0.575;0.2;FOG
DEBRECEN;2;2017-04-28 13:15:00;21.7;3.12;1.1;CLEAR
DEBRECEN;3;2017-04-28 13:17:00;22.5;1.635;3.5;PARTLY_CLOUDY
BUDAPEST;1;2017-04-28 13:19:00;18.7;10.875;2.3;CLOUDY
BUDAPEST;2;2017-04-28 13:21:00;13.5;0;0;CLEAR
BUDAPEST;3;2017-04-28 13:23:00;10.4;6.48;3.6;HEAVY_CLOUDS
SZEGED;1;2017-04-28 13:25:00;17;0.22;0.1;CLOUDY
SZEGED;2;2017-04-28 13:27:00;19;0;0;FOG
SOPRON;1;2017-04-28 13:29:00;21.2;4.63;2;CLEAR
SOPRON;2;2017-04-28 13:31:00;23.5;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-28 13:33:00;22.4;5.205;1.2;HEAVY_CLOUDS
DEBRECEN;2;2017-04-28 13:35:00;21.5;21.76;5.8;HEAVY_CLOUDS
DEBRECEN;3;2017-04-28 13:37:00;23.1;1.165;0.6;HEAVY_CLOUDS
BUDAPEST;1;2017-04-28 13:39:00;23.8;0;0;FOG
BUDAPEST;2;2017-04-28 13:41:00;19.2;0.125;0.3;HEAVY_CLOUDS
BUDAPEST;3;2017-04-28 13:43:00;18.8;0;0;FOG
SZEGED;1;2017-04-28 13:45:00;22.5;0;0;FOG
SZEGED;2;2017-04-28 13:47:00;23.6;0;0;PARTLY_CLOUDY
SOPRON;1;2017-04-28 13:49:00;19.2;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-28 13:51:00;16.2;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-28 13:53:00;11.8;0;0;PARTLY_CLOUDY
DEBRECEN;2;2017-04-28 13:55:00;11;0;0;CLOUDY
DEBRECEN;3;2017-04-28 13:57:00;11.1;0.96;1.5;CLOUDY
BUDAPEST;1;2017-04-28 13:59:00;14.9;3.62;2.1;HEAVY_CLOUDS
BUDAPEST;2;2017-04-28 14:01:00;15.8;0;0;FOG
